,Data_loading_csv,Data_loading_json,Data_loading_parquet,Count_per_column,Mean_per_column,Median_per_column,Max_per_column,Min_per_column,Sum_per_column,Standard_deviation_per_column,Summary,Filter,Avg_addition_2_columns,Sum_addition_2_columns,Product_addition_2_columns,Add_new_column,Add_new_column_comparing_size,GroupBy,Distinct,Number_distinct_values,Join_raw,Join
1/1,0.01153874397277832,0.02117323875427246,0.18379998207092285,0.0017473697662353516,0.001165628433227539,0.0032563209533691406,0.0007460117340087891,0.0006911754608154297,0.0007615089416503906,0.0011336803436279297,0.018311023712158203,0.0024139881134033203,0.00079345703125,0.0003910064697265625,0.0003871917724609375,0.0013992786407470703,0.002246379852294922,0.0068209171295166016,0.000308990478515625,0.0026445388793945312,0.00644683837890625,0.01450204849243164
1/10,0.003987312316894531,0.007967948913574219,0.004174709320068359,0.0015990734100341797,0.000986337661743164,0.0019478797912597656,0.0005385875701904297,0.0004425048828125,0.0005202293395996094,0.0006895065307617188,0.012666463851928711,0.0018763542175292969,0.0006508827209472656,0.0003399848937988281,0.0003592967987060547,0.0012707710266113281,0.0031099319458007812,0.009473085403442383,0.0003409385681152344,0.004533052444458008,0.005861997604370117,0.021905183792114258
1/100,0.007627964019775391,0.01565265655517578,0.004080295562744141,0.0019981861114501953,0.0009746551513671875,0.0027713775634765625,0.0006849765777587891,0.0006313323974609375,0.0007376670837402344,0.001135110855102539,0.017451047897338867,0.0026721954345703125,0.0007259845733642578,0.0003688335418701172,0.0004057884216308594,0.0013256072998046875,0.002265453338623047,0.009198665618896484,0.0003566741943359375,0.00422358512878418,0.007988691329956055,0.015855073928833008
1/1000,0.009985685348510742,0.01741337776184082,0.003949880599975586,0.0016703605651855469,0.0007691383361816406,0.0028166770935058594,0.0005979537963867188,0.0005936622619628906,0.0005791187286376953,0.0008273124694824219,0.01269221305847168,0.0018734931945800781,0.0007507801055908203,0.00035858154296875,0.0003497600555419922,0.0014798641204833984,0.002203226089477539,0.005804777145385742,0.0002777576446533203,0.0024318695068359375,0.007687091827392578,0.01569342613220215
1/10000,0.019524812698364258,0.09410524368286133,0.005414247512817383,0.0021028518676757812,0.0014600753784179688,0.00874781608581543,0.0008642673492431641,0.0011065006256103516,0.0008971691131591797,0.002340555191040039,0.015015840530395508,0.0024366378784179688,0.0010249614715576172,0.0004425048828125,0.00039577484130859375,0.0012698173522949219,0.004230499267578125,0.00676274299621582,0.00048613548278808594,0.004509925842285156,0.03611898422241211,0.021887779235839844
1/100000,0.1481153964996338,0.7862675189971924,0.02245020866394043,0.008776664733886719,0.009268999099731445,0.09039878845214844,0.0036878585815429688,0.003728628158569336,0.004580259323120117,0.0329442024230957,0.055330514907836914,0.014662504196166992,0.008664369583129883,0.0033426284790039062,0.0031266212463378906,0.006275177001953125,0.03304123878479004,0.02139449119567871,0.004019260406494141,0.03218650817871094,0.4106616973876953,0.03400015830993652
1/1000000,1.2847809791564941,7.363542318344116,0.21735334396362305,0.07339286804199219,0.08477520942687988,0.939946174621582,0.03279852867126465,0.03220224380493164,0.038027286529541016,0.34122490882873535,0.4036524295806885,0.11919760704040527,0.06213808059692383,0.021867990493774414,0.023586034774780273,0.04497838020324707,0.3254265785217285,0.1907334327697754,0.030361175537109375,0.25734710693359375,3.95129132270813,0.201646089553833
1/10000000,12.382026433944702,76.22364974021912,2.398563861846924,0.7131798267364502,0.838756799697876,9.000233888626099,0.3126072883605957,0.3567378520965576,0.416654109954834,3.0087616443634033,3.5499260425567627,1.1551859378814697,0.60896897315979,0.20180344581604004,0.22178101539611816,0.4389076232910156,3.136019706726074,1.7137272357940674,0.25459742546081543,2.2061030864715576,,1.7030303478240967
5/1,0.005354881286621094,0.00939798355102539,0.006783246994018555,0.0016453266143798828,0.0006554126739501953,0.002294301986694336,0.0006492137908935547,0.0006167888641357422,0.0009276866912841797,0.0011343955993652344,0.04666399955749512,0.0019202232360839844,0.0007915496826171875,0.0003523826599121094,0.0003504753112792969,0.0012085437774658203,0.001940011978149414,0.010797262191772461,0.0003273487091064453,0.0033893585205078125,0.00558924674987793,0.01685643196105957
5/10,0.005171298980712891,0.009521245956420898,0.00668025016784668,0.0013759136199951172,0.0005981922149658203,0.0018849372863769531,0.0004773139953613281,0.0004374980926513672,0.0005228519439697266,0.0008018016815185547,0.03689765930175781,0.0024716854095458984,0.0008425712585449219,0.0003528594970703125,0.0003364086151123047,0.001154184341430664,0.0019724369049072266,0.005310535430908203,0.0002186298370361328,0.003071308135986328,0.004954099655151367,0.015642404556274414
