,Data_loading_csv,Data_loading_json,Data_loading_parquet,Count_per_column,Mean_per_column,Median_per_column,Max_per_column,Min_per_column,Sum_per_column,Standard_deviation_per_column,Summary,Filter,Avg_addition_2_columns,Sum_addition_2_columns,Product_addition_2_columns,Add_new_column,Add_new_column_comparing_size,GroupBy,Distinct,Number_distinct_values,Join_raw,Join
1/1,8.908996820449829,2.4837448596954346,2.4254794120788574,0.42952561378479004,0.12618660926818848,0.30843544006347656,0.12104201316833496,0.12851548194885254,0.12082672119140625,0.22271490097045898,9.1354501247406,0.16338610649108887,0.13246941566467285,0.06635832786560059,0.07444095611572266,0.08592700958251953,0.2358264923095703,0.18599653244018555,0.08839988708496094,0.15218520164489746,0.26362061500549316,0.6900839805603027
1/10,1.654193639755249,1.488529920578003,0.791903018951416,0.13892102241516113,0.07056522369384766,0.3168015480041504,0.07515692710876465,0.09114766120910645,0.09282112121582031,0.14218497276306152,2.5114052295684814,0.11962413787841797,0.09308743476867676,0.05504155158996582,0.07425498962402344,0.08136749267578125,0.2038590908050537,0.07730269432067871,0.09745311737060547,0.21325373649597168,0.1586599349975586,0.4322645664215088
1/100,1.7171342372894287,0.9394145011901855,0.5846145153045654,0.16503357887268066,0.10163211822509766,0.22677993774414062,0.07189440727233887,0.1293473243713379,0.10277318954467773,0.12839865684509277,2.1024396419525146,0.12065410614013672,0.10095500946044922,0.04417610168457031,0.05077481269836426,0.05662274360656738,0.15436053276062012,0.09718537330627441,0.054221153259277344,0.08304548263549805,0.1483910083770752,0.4417860507965088
1/1000,1.078047275543213,0.9087350368499756,0.7234899997711182,0.14434003829956055,0.05937480926513672,0.18998456001281738,0.06524014472961426,0.07924342155456543,0.07205080986022949,0.14836931228637695,1.8019094467163086,0.09061455726623535,0.07874679565429688,0.04254913330078125,0.0622563362121582,0.06193804740905762,0.17379188537597656,0.06485128402709961,0.04873037338256836,0.09128785133361816,0.12443685531616211,0.48384618759155273
1/10000,1.3306894302368164,0.6954727172851562,0.6492056846618652,0.15598702430725098,0.0705409049987793,0.17896127700805664,0.06617331504821777,0.07250046730041504,0.0757756233215332,0.09963083267211914,2.5242912769317627,0.09955787658691406,0.06384420394897461,0.05245399475097656,0.05394339561462402,0.04307246208190918,0.14160561561584473,0.06732511520385742,0.05657553672790527,0.0951395034790039,0.13556504249572754,0.36246275901794434
1/100000,1.2015082836151123,0.7980010509490967,0.6047763824462891,0.11482906341552734,0.051403045654296875,0.16224312782287598,0.05374503135681152,0.07485532760620117,0.05472683906555176,0.09705305099487305,2.2776825428009033,0.08129501342773438,0.05412769317626953,0.06994891166687012,0.04439401626586914,0.05451655387878418,0.14347577095031738,0.06329178810119629,0.0510714054107666,0.1056818962097168,0.09517168998718262,0.3272712230682373
1/1000000,1.0684959888458252,0.8005850315093994,0.5153863430023193,0.11447644233703613,0.06381559371948242,0.16505956649780273,0.060376644134521484,0.08194160461425781,0.0799107551574707,0.12961888313293457,6.378610849380493,0.07597684860229492,0.052719831466674805,0.04774761199951172,0.05592989921569824,0.04497981071472168,0.12439370155334473,0.05314493179321289,0.047490835189819336,0.07803797721862793,0.09017705917358398,0.32563018798828125
1/10000000,0.9696922302246094,0.7166016101837158,0.49474239349365234,0.11603188514709473,0.058858633041381836,0.1568145751953125,0.07159686088562012,0.07129120826721191,0.07336139678955078,0.10426998138427734,47.79818415641785,0.07204699516296387,0.05394458770751953,0.045626163482666016,0.053023576736450195,0.04116201400756836,0.13389992713928223,0.0526885986328125,0.045404911041259766,0.08758234977722168,0.07964944839477539,0.3010561466217041
5/1,1.0514640808105469,0.7866060733795166,0.4973433017730713,0.2803676128387451,0.13226962089538574,0.44455552101135254,0.13405156135559082,0.14697480201721191,0.16484403610229492,0.275052547454834,3.8576126098632812,0.09658122062683105,0.05586671829223633,0.05262327194213867,0.04878711700439453,0.04986763000488281,0.14913368225097656,0.14638233184814453,0.0375056266784668,0.2093794345855713,0.09011220932006836,0.5026237964630127
5/10,0.9618985652923584,0.6581850051879883,0.5595955848693848,0.3538246154785156,0.13488411903381348,0.413327693939209,0.15539908409118652,0.1334998607635498,0.1354508399963379,0.20618462562561035,1.949254035949707,0.11399984359741211,0.05589652061462402,0.051755428314208984,0.0724031925201416,0.03713202476501465,0.12938642501831055,0.14922165870666504,0.038227081298828125,0.17936015129089355,0.08772873878479004,0.508629322052002
5/100,0.962116003036499,0.6513266563415527,0.610588550567627,0.3248310089111328,0.14945173263549805,0.3968687057495117,0.16111016273498535,0.1743781566619873,0.1607663631439209,0.17108893394470215,1.7564880847930908,0.06833076477050781,0.050740718841552734,0.045108795166015625,0.048464059829711914,0.05111360549926758,0.12652802467346191,0.17872834205627441,0.08060979843139648,0.20289874076843262,0.06453466415405273,0.4787118434906006
5/1000,0.8997764587402344,0.5968406200408936,0.5671262741088867,0.34194326400756836,0.13529634475708008,0.3248322010040283,0.13239240646362305,0.17110395431518555,0.14682936668395996,0.1547870635986328,1.7732882499694824,0.09300374984741211,0.05027318000793457,0.047971487045288086,0.04400205612182617,0.04534268379211426,0.11770248413085938,0.1410388946533203,0.034743309020996094,0.1898036003112793,0.07187151908874512,0.45182180404663086
5/10000,0.9092898368835449,0.5803890228271484,0.6508839130401611,0.2836277484893799,0.12466096878051758,0.3230304718017578,0.18993067741394043,0.16864895820617676,0.12976360321044922,0.18034696578979492,2.571032762527466,0.06350421905517578,0.0488429069519043,0.041687726974487305,0.044179677963256836,0.04417681694030762,0.14057278633117676,0.2095956802368164,0.031687021255493164,0.17851996421813965,0.057947397232055664,0.43857598304748535
5/100000,0.8099808692932129,0.6757352352142334,0.586665153503418,0.2542381286621094,0.12333106994628906,0.30103230476379395,0.1239008903503418,0.1910090446472168,0.13486647605895996,0.1707308292388916,3.1820645332336426,0.059473514556884766,0.047308921813964844,0.050986528396606445,0.05120253562927246,0.04433774948120117,0.11100387573242188,0.13356614112854004,0.03523683547973633,0.19510769844055176,0.05998659133911133,0.40247559547424316
5/1000000,0.8256840705871582,0.5582454204559326,0.4620661735534668,0.27314257621765137,0.13105559349060059,0.30506181716918945,0.21329045295715332,0.13224506378173828,0.14483356475830078,0.15021610260009766,16.04183864593506,0.06822061538696289,0.04886770248413086,0.04293656349182129,0.04173779487609863,0.038971662521362305,0.11216521263122559,0.1361234188079834,0.030855417251586914,0.1922004222869873,0.05753159523010254,0.32846665382385254
