,Data_loading_csv,Data_loading_json,Data_loading_parquet,Count_per_column,Mean_per_column,Median_per_column,Max_per_column,Min_per_column,Sum_per_column,Standard_deviation_per_column,Summary,Filter,Avg_addition_2_columns,Sum_addition_2_columns,Product_addition_2_columns,Add_new_column,Add_new_column_comparing_size,GroupBy,Distinct,Number_distinct_values,Join_raw,Join
1/1,0.0020542144775390625,0.0043790340423583984,0.07437682151794434,0.0006289482116699219,0.00018930435180664062,0.0001327991485595703,0.00012803077697753906,0.00012111663818359375,0.00019598007202148438,0.00010609626770019531,0.00419306755065918,0.0005960464477539062,0.00021386146545410156,0.00011610984802246094,0.00010991096496582031,0.0003719329833984375,0.0005941390991210938,0.0015292167663574219,9.989738464355469e-05,0.0005791187286376953,0.0021979808807373047,0.004591941833496094
1/10,0.0015118122100830078,0.002753019332885742,0.0028259754180908203,0.0004558563232421875,0.00013709068298339844,0.0001430511474609375,9.417533874511719e-05,9.107589721679688e-05,0.00016188621520996094,9.274482727050781e-05,0.003372669219970703,0.00047779083251953125,0.00021409988403320312,0.00010085105895996094,0.0001010894775390625,0.0003337860107421875,0.0005261898040771484,0.0013699531555175781,9.703636169433594e-05,0.0006649494171142578,0.0019621849060058594,0.004155874252319336
1/100,0.0016520023345947266,0.002536296844482422,0.0020151138305664062,0.00043702125549316406,0.00013184547424316406,0.00032210350036621094,0.00014090538024902344,9.298324584960938e-05,0.00014472007751464844,0.00013494491577148438,0.0036869049072265625,0.0005018711090087891,0.00018405914306640625,0.00011682510375976562,9.894371032714844e-05,0.00044989585876464844,0.000659942626953125,0.0015537738800048828,0.00016021728515625,0.0006988048553466797,0.0018339157104492188,0.004229068756103516
1/1000,0.0015549659729003906,0.003979921340942383,0.002040863037109375,0.0004649162292480469,0.0001518726348876953,0.00024390220642089844,0.00016999244689941406,0.00016379356384277344,0.00015807151794433594,0.0001621246337890625,0.004585981369018555,0.0009019374847412109,0.00023293495178222656,0.00010609626770019531,0.00010395050048828125,0.0003490447998046875,0.0006499290466308594,0.0016307830810546875,0.0002288818359375,0.0009500980377197266,0.002318859100341797,0.0036339759826660156
1/10000,0.0029370784759521484,0.01877570152282715,0.003025054931640625,0.0005548000335693359,0.0005037784576416016,0.0003840923309326172,0.0003838539123535156,0.0002918243408203125,0.000225067138671875,0.0002796649932861328,0.005000114440917969,0.0010459423065185547,0.00023818016052246094,0.00011014938354492188,0.0002460479736328125,0.00037407875061035156,0.0019299983978271484,0.002289295196533203,0.0002338886260986328,0.0011980533599853516,0.009398937225341797,0.006112098693847656
1/100000,0.017187118530273438,0.17454791069030762,0.004784822463989258,0.0012590885162353516,0.0009238719940185547,0.0018019676208496094,0.0007638931274414062,0.0008070468902587891,0.0006530284881591797,0.0014328956604003906,0.009527921676635742,0.003103017807006836,0.0006339550018310547,0.0003120899200439453,0.0002601146697998047,0.0006630420684814453,0.012845039367675781,0.007428884506225586,0.0005958080291748047,0.006161928176879883,0.08268284797668457,0.007486104965209961
1/1000000,0.11790800094604492,1.7536706924438477,0.02259683609008789,0.012033939361572266,0.007842779159545898,0.01309967041015625,0.004462003707885742,0.004479169845581055,0.003740072250366211,0.009690999984741211,0.05894303321838379,0.0172879695892334,0.0032281875610351562,0.0011179447174072266,0.0011539459228515625,0.0025451183319091797,0.13448596000671387,0.07451176643371582,0.006918191909790039,0.062409162521362305,0.9693629741668701,0.0616459846496582
1/10000000,1.190737009048462,17.45681619644165,0.18900513648986816,0.10460638999938965,0.06976318359375,0.13646697998046875,0.044812917709350586,0.0469970703125,0.037444114685058594,0.10289287567138672,0.5386018753051758,0.1895129680633545,0.026301860809326172,0.01032710075378418,0.010239124298095703,0.024947166442871094,1.360412836074829,0.7398960590362549,0.06707572937011719,0.5896170139312744,10.68512511253357,0.4883251190185547
5/1,0.002444028854370117,0.004509925842285156,0.005038022994995117,0.0010120868682861328,0.0002579689025878906,0.00014495849609375,0.00014901161193847656,0.0001480579376220703,0.00019311904907226562,0.0001537799835205078,0.013338804244995117,0.0006911754608154297,0.0002720355987548828,0.00011897087097167969,0.00010395050048828125,0.000396728515625,0.0005869865417480469,0.0015900135040283203,0.0001220703125,0.0014209747314453125,0.002402782440185547,0.004783153533935547
5/10,0.0018811225891113281,0.0035631656646728516,0.0024690628051757812,0.0005140304565429688,0.0001552104949951172,0.00012493133544921875,0.0001049041748046875,0.000102996826171875,0.00015997886657714844,9.918212890625e-05,0.009540796279907227,0.0006258487701416016,0.00026488304138183594,0.0001010894775390625,0.00010180473327636719,0.0003581047058105469,0.0005528926849365234,0.00167083740234375,9.202957153320312e-05,0.0010728836059570312,0.001920938491821289,0.004393815994262695
