,Data_loading_csv,Data_loading_json,Data_loading_parquet,Count_per_column,Mean_per_column,Median_per_column,Max_per_column,Min_per_column,Sum_per_column,Standard_deviation_per_column,Summary,Filter,Avg_addition_2_columns,Sum_addition_2_columns,Product_addition_2_columns,Add_new_column,Add_new_column_comparing_size,GroupBy,Distinct,Number_distinct_values,Join_raw,Join
1/1,0.18204402923583984,0.2833240032196045,0.32744908332824707,0.06952095031738281,0.015486001968383789,0.03890204429626465,0.0123291015625,0.016330957412719727,0.01376199722290039,0.027438879013061523,1.0925490856170654,0.018244028091430664,0.019840717315673828,0.011588096618652344,0.012434005737304688,0.013065099716186523,0.036314964294433594,0.022813796997070312,0.014019012451171875,0.025368928909301758,0.044348955154418945,0.06157183647155762
1/10,0.15128874778747559,0.07258296012878418,0.09460592269897461,0.021867990493774414,0.01491689682006836,0.03951120376586914,0.01300501823425293,0.011291980743408203,0.012310028076171875,0.01666998863220215,0.20003795623779297,0.01269984245300293,0.013077020645141602,0.009193897247314453,0.008574962615966797,0.008559942245483398,0.023020029067993164,0.014845848083496094,0.008984088897705078,0.02077507972717285,0.013662099838256836,0.05488276481628418
1/100,0.12491488456726074,0.06956005096435547,0.0965878963470459,0.021831989288330078,0.010951757431030273,0.03049778938293457,0.012851953506469727,0.011419296264648438,0.012101888656616211,0.015056848526000977,0.17235589027404785,0.01368093490600586,0.013930082321166992,0.009124994277954102,0.009017705917358398,0.008030891418457031,0.019503116607666016,0.036746978759765625,0.009206056594848633,0.017356157302856445,0.010792970657348633,0.05293917655944824
1/1000,0.10759568214416504,0.06049990653991699,0.0797891616821289,0.01798868179321289,0.008574247360229492,0.01773691177368164,0.008589744567871094,0.008332967758178711,0.008162975311279297,0.010838031768798828,0.14791202545166016,0.009454011917114258,0.008749723434448242,0.0064239501953125,0.006159305572509766,0.00506901741027832,0.019285917282104492,0.009794950485229492,0.005273103713989258,0.01009368896484375,0.006602048873901367,0.03697371482849121
1/10000,0.1009528636932373,0.08197999000549316,0.0826568603515625,0.018244028091430664,0.008797168731689453,0.01760697364807129,0.009178876876831055,0.008910894393920898,0.009111881256103516,0.011321067810058594,0.16576075553894043,0.010621070861816406,0.008877038955688477,0.00757288932800293,0.0069370269775390625,0.004909992218017578,0.012914896011352539,0.008733749389648438,0.005131721496582031,0.009886980056762695,0.006693840026855469,0.03565192222595215
1/100000,0.08894801139831543,0.05376315116882324,0.07816433906555176,0.013544321060180664,0.008132696151733398,0.01834273338317871,0.008430957794189453,0.008046865463256836,0.008080005645751953,0.01037287712097168,0.37069177627563477,0.008305072784423828,0.01364898681640625,0.005769968032836914,0.005558967590332031,0.004533052444458008,0.012271881103515625,0.009517908096313477,0.004954814910888672,0.010111808776855469,0.005710124969482422,0.03853583335876465
1/1000000,0.08963394165039062,0.05450296401977539,0.07640910148620605,0.014310836791992188,0.009237289428710938,0.01886892318725586,0.008798837661743164,0.009027957916259766,0.009287834167480469,0.011198997497558594,0.9734299182891846,0.012816190719604492,0.008498191833496094,0.006675004959106445,0.005753040313720703,0.004547119140625,0.011393070220947266,0.008027076721191406,0.004415035247802734,0.009513139724731445,0.005753040313720703,0.04039192199707031
1/10000000,0.09764719009399414,0.052964210510253906,0.07808780670166016,0.01343679428100586,0.00844430923461914,0.0163271427154541,0.008455991744995117,0.008775949478149414,0.008169412612915039,0.015573978424072266,9.431687831878662,0.00704193115234375,0.009021997451782227,0.006473064422607422,0.005873918533325195,0.005032777786254883,0.014554023742675781,0.009637832641601562,0.006081819534301758,0.02509307861328125,0.006558895111083984,0.03935980796813965
5/1,0.0870518684387207,0.0534970760345459,0.07189488410949707,0.030352115631103516,0.020861148834228516,0.05981707572937012,0.019739151000976562,0.017640113830566406,0.017489194869995117,0.023816347122192383,0.3888270854949951,0.00877690315246582,0.00868368148803711,0.006712913513183594,0.008053064346313477,0.0063190460205078125,0.015676021575927734,0.02501225471496582,0.006373882293701172,0.03960919380187988,0.008184194564819336,0.05309891700744629
5/10,0.09884905815124512,0.057333946228027344,0.08135604858398438,0.03791213035583496,0.019781827926635742,0.04905986785888672,0.025032997131347656,0.02006077766418457,0.022951126098632812,0.023159027099609375,0.18629884719848633,0.009777069091796875,0.009272098541259766,0.0093841552734375,0.015969038009643555,0.007012128829956055,0.01561594009399414,0.02684497833251953,0.006066083908081055,0.03183102607727051,0.008009910583496094,0.0723268985748291
5/100,0.10263490676879883,0.05548596382141113,0.08048820495605469,0.029905080795288086,0.021754980087280273,0.035581350326538086,0.017335891723632812,0.01742267608642578,0.02254199981689453,0.02119898796081543,0.16349124908447266,0.006392002105712891,0.0069577693939208984,0.005469799041748047,0.005378007888793945,0.004688262939453125,0.011104106903076172,0.027757644653320312,0.005319833755493164,0.025028228759765625,0.006439924240112305,0.04763913154602051
5/1000,0.07862210273742676,0.05030989646911621,0.06890201568603516,0.029719829559326172,0.01797008514404297,0.04544329643249512,0.018898963928222656,0.018058061599731445,0.017128944396972656,0.02126789093017578,0.17416095733642578,0.011553049087524414,0.007215976715087891,0.005668163299560547,0.005585193634033203,0.0047149658203125,0.011630773544311523,0.019197940826416016,0.004626035690307617,0.021389245986938477,0.009148836135864258,0.0426480770111084
5/10000,0.07832884788513184,0.05371212959289551,0.07095503807067871,0.03760480880737305,0.018110036849975586,0.04325389862060547,0.022043943405151367,0.025524139404296875,0.019073963165283203,0.020401954650878906,0.2458796501159668,0.006076812744140625,0.006852865219116211,0.0052280426025390625,0.005116939544677734,0.0048329830169677734,0.010869979858398438,0.021991252899169922,0.0046329498291015625,0.021924257278442383,0.0052449703216552734,0.04575610160827637
5/100000,0.07982325553894043,0.04920601844787598,0.06951570510864258,0.029442787170410156,0.017269134521484375,0.04316878318786621,0.020032882690429688,0.027958154678344727,0.017863988876342773,0.023361921310424805,0.46695494651794434,0.0077059268951416016,0.0075969696044921875,0.0055751800537109375,0.01200413703918457,0.004900932312011719,0.010274171829223633,0.017203807830810547,0.0046999454498291016,0.025990009307861328,0.006029844284057617,0.04117107391357422
5/1000000,0.07838201522827148,0.04871797561645508,0.07090878486633301,0.031122922897338867,0.017951011657714844,0.035310983657836914,0.024791955947875977,0.01672816276550293,0.0172731876373291,0.018433094024658203,2.638826847076416,0.005682945251464844,0.0061719417572021484,0.00503087043762207,0.005097866058349609,0.004214048385620117,0.010355949401855469,0.01772594451904297,0.00417780876159668,0.02127695083618164,0.00489497184753418,0.05375385284423828
5/10000000,0.07822895050048828,0.05172991752624512,0.07354235649108887,0.02827906608581543,0.024813175201416016,0.04457712173461914,0.019189119338989258,0.02205204963684082,0.02218794822692871,0.01912403106689453,26.605091094970703,0.009790420532226562,0.00744318962097168,0.0052280426025390625,0.0052449703216552734,0.010533809661865234,0.011605978012084961,0.0182037353515625,0.008722782135009766,0.022131919860839844,0.005082130432128906,0.04575490951538086
10/1,0.0765998363494873,0.04974102973937988,0.07027006149291992,0.04791712760925293,0.037506103515625,0.06585097312927246,0.03762102127075195,0.031100749969482422,0.02856612205505371,0.036553144454956055,0.41011786460876465,0.0067141056060791016,0.007590770721435547,0.0061779022216796875,0.006001949310302734,0.0053119659423828125,0.012366771697998047,0.04742288589477539,0.004441022872924805,0.039038896560668945,0.006097078323364258,0.07249689102172852
10/10,0.08122706413269043,0.048172950744628906,0.06884574890136719,0.05567789077758789,0.029254913330078125,0.07550501823425293,0.030311107635498047,0.028915882110595703,0.031919002532958984,0.03553175926208496,0.19817304611206055,0.006156206130981445,0.007729768753051758,0.005057096481323242,0.004919767379760742,0.0045549869537353516,0.009976863861083984,0.0285189151763916,0.004140138626098633,0.03890085220336914,0.005082130432128906,0.054479122161865234
10/100,0.07259583473205566,0.05367088317871094,0.08330702781677246,0.060912132263183594,0.03408694267272949,0.05812692642211914,0.033503055572509766,0.029114723205566406,0.031192779541015625,0.036322832107543945,0.20479798316955566,0.006376028060913086,0.00705409049987793,0.005571842193603516,0.005681753158569336,0.005354881286621094,0.012223005294799805,0.030548095703125,0.008079767227172852,0.03443098068237305,0.0055179595947265625,0.0580592155456543
10/1000,0.07542705535888672,0.050939321517944336,0.0678260326385498,0.052516937255859375,0.030534029006958008,0.08004498481750488,0.027795076370239258,0.028443098068237305,0.03558087348937988,0.03405499458312988,0.22534489631652832,0.0061261653900146484,0.007216930389404297,0.005194187164306641,0.005038738250732422,0.004325151443481445,0.02138519287109375,0.03221917152404785,0.004452943801879883,0.04076790809631348,0.005537986755371094,0.05148792266845703
10/10000,0.07461214065551758,0.048397064208984375,0.0675668716430664,0.04439711570739746,0.03377985954284668,0.062088966369628906,0.033347129821777344,0.02794194221496582,0.029636144638061523,0.03861379623413086,0.3118889331817627,0.005814075469970703,0.006307840347290039,0.005117893218994141,0.0047910213470458984,0.00436711311340332,0.010040760040283203,0.02915215492248535,0.00413203239440918,0.0478518009185791,0.005276203155517578,0.0561678409576416
10/100000,0.07121109962463379,0.04869222640991211,0.06737709045410156,0.05552220344543457,0.029623031616210938,0.0666968822479248,0.03016805648803711,0.02857184410095215,0.033792972564697266,0.0324101448059082,0.7978651523590088,0.005852937698364258,0.006201028823852539,0.004823207855224609,0.004620790481567383,0.004267692565917969,0.009706974029541016,0.027557849884033203,0.0042400360107421875,0.03876519203186035,0.005403995513916016,0.05388903617858887
10/1000000,0.0797579288482666,0.04869389533996582,0.06643199920654297,0.05132269859313965,0.02859020233154297,0.06722092628479004,0.029089927673339844,0.03172707557678223,0.030501842498779297,0.037277936935424805,4.789853096008301,0.006065845489501953,0.0075778961181640625,0.005290031433105469,0.004624128341674805,0.00432896614074707,0.009790897369384766,0.028110027313232422,0.0049741268157958984,0.04004669189453125,0.005835056304931641,0.05923104286193848
10/10000000,0.07700490951538086,0.04833722114562988,0.06742191314697266,0.05051898956298828,0.03034687042236328,0.06575393676757812,0.02851581573486328,0.028522729873657227,0.03302407264709473,0.03284001350402832,50.261168241500854,0.005506038665771484,0.006093025207519531,0.0049610137939453125,0.004505157470703125,0.004145145416259766,0.009489059448242188,0.045094966888427734,0.003921031951904297,0.03474998474121094,0.013577938079833984,0.05390501022338867
20/1,0.07615113258361816,0.04870796203613281,0.06720709800720215,0.14194798469543457,0.056723833084106445,0.12018895149230957,0.1677389144897461,0.05378103256225586,0.056685686111450195,0.05726122856140137,0.5489640235900879,0.007619142532348633,0.007139921188354492,0.0056610107421875,0.005098104476928711,0.0047948360443115234,0.010915756225585938,0.06006979942321777,0.004533052444458008,0.0691070556640625,0.005702018737792969,0.08827900886535645
20/10,0.07032585144042969,0.048024892807006836,0.06789994239807129,0.09260272979736328,0.06602883338928223,0.12470126152038574,0.06057596206665039,0.053931236267089844,0.055828094482421875,0.06168818473815918,0.3043999671936035,0.006537914276123047,0.00626683235168457,0.005276918411254883,0.005072832107543945,0.004913806915283203,0.011061906814575195,0.05735182762145996,0.004738807678222656,0.06801676750183105,0.007122039794921875,0.08280396461486816
20/100,0.06934309005737305,0.047532081604003906,0.0680851936340332,0.08990073204040527,0.056532859802246094,0.12559199333190918,0.06271886825561523,0.05188608169555664,0.05503988265991211,0.06686997413635254,0.3070530891418457,0.005973100662231445,0.006124019622802734,0.005105257034301758,0.00485992431640625,0.004469871520996094,0.010378837585449219,0.0539858341217041,0.0048198699951171875,0.07575297355651855,0.0055010318756103516,0.08332610130310059
20/1000,0.06884908676147461,0.047444820404052734,0.06606578826904297,0.08822798728942871,0.05517697334289551,0.11922788619995117,0.055274009704589844,0.054078102111816406,0.05172300338745117,0.061313629150390625,0.35526490211486816,0.005268096923828125,0.00569915771484375,0.004615068435668945,0.004458904266357422,0.0042760372161865234,0.009908914566040039,0.052865028381347656,0.0052280426025390625,0.06926107406616211,0.005742073059082031,0.09434700012207031
20/10000,0.07146406173706055,0.04700803756713867,0.06754207611083984,0.09256768226623535,0.05209708213806152,0.10564088821411133,0.058075904846191406,0.06236124038696289,0.051362037658691406,0.05861616134643555,0.5615222454071045,0.005235195159912109,0.005796909332275391,0.00491786003112793,0.0048542022705078125,0.004900932312011719,0.01493978500366211,0.04840421676635742,0.005137920379638672,0.07453393936157227,0.006178140640258789,0.08840084075927734
20/100000,0.067352294921875,0.04714393615722656,0.06673192977905273,0.08827686309814453,0.05666303634643555,0.11286091804504395,0.06438994407653809,0.05412912368774414,0.05872702598571777,0.05685877799987793,1.5330810546875,0.006072044372558594,0.011126041412353516,0.004634857177734375,0.00436711311340332,0.004122257232666016,0.010616064071655273,0.05246996879577637,0.004927158355712891,0.06870412826538086,0.005939006805419922,0.08675003051757812
20/1000000,0.0746312141418457,0.05023694038391113,0.06873011589050293,0.08878016471862793,0.05937004089355469,0.10801005363464355,0.05727219581604004,0.05052900314331055,0.0719461441040039,0.06109189987182617,10.060576915740967,0.0053555965423583984,0.00600433349609375,0.005305051803588867,0.00500798225402832,0.004556894302368164,0.009947061538696289,0.052454233169555664,0.004938840866088867,0.06762003898620605,0.005621910095214844,0.08476018905639648
20/10000000,0.07212305068969727,0.06150984764099121,0.06768298149108887,0.08685517311096191,0.05582380294799805,0.11726617813110352,0.05495190620422363,0.05478215217590332,0.06045389175415039,0.06463885307312012,103.14744782447815,0.005285024642944336,0.005956888198852539,0.004842996597290039,0.004464864730834961,0.004346132278442383,0.009943723678588867,0.05230069160461426,0.004940986633300781,0.07483267784118652,0.005430936813354492,0.08628010749816895
30/1,0.0800778865814209,0.046646833419799805,0.06601810455322266,0.13729596138000488,0.07912993431091309,0.17197203636169434,0.07541704177856445,0.08283805847167969,0.079193115234375,0.08332109451293945,0.7135727405548096,0.006427288055419922,0.006814241409301758,0.005856037139892578,0.005890846252441406,0.006085872650146484,0.01260519027709961,0.10597014427185059,0.0053119659423828125,0.1826610565185547,0.008169889450073242,0.13809704780578613
30/10,0.07448506355285645,0.0504612922668457,0.07363605499267578,0.15035605430603027,0.08175897598266602,0.16778802871704102,0.08255577087402344,0.0768289566040039,0.08262300491333008,0.08354997634887695,0.43238210678100586,0.005264997482299805,0.005977153778076172,0.0053141117095947266,0.004835844039916992,0.010828733444213867,0.012498140335083008,0.09470605850219727,0.005098104476928711,0.11422896385192871,0.006341218948364258,0.10884666442871094
30/100,0.07365202903747559,0.04870891571044922,0.08265972137451172,0.12586379051208496,0.08123493194580078,0.16504192352294922,0.08439993858337402,0.07376289367675781,0.07401013374328613,0.09742999076843262,0.44054508209228516,0.007025957107543945,0.009337186813354492,0.0068280696868896484,0.007678985595703125,0.006719112396240234,0.013710975646972656,0.09523200988769531,0.0054509639739990234,0.12465691566467285,0.006598949432373047,0.10793304443359375
30/1000,0.0750589370727539,0.05231428146362305,0.0747671127319336,0.1470320224761963,0.09787702560424805,0.1651136875152588,0.07924699783325195,0.08528518676757812,0.09256911277770996,0.09099102020263672,0.5230717658996582,0.005252838134765625,0.005816221237182617,0.005053997039794922,0.004647254943847656,0.004683017730712891,0.01083993911743164,0.08006930351257324,0.0040280818939208984,0.106658935546875,0.006314992904663086,0.10547113418579102
30/10000,0.07209300994873047,0.053492069244384766,0.07050490379333496,0.11948418617248535,0.08336400985717773,0.17768383026123047,0.09187698364257812,0.09611797332763672,0.08043813705444336,0.09196710586547852,0.8919498920440674,0.0053920745849609375,0.006187915802001953,0.0060999393463134766,0.004986763000488281,0.00558781623840332,0.011549949645996094,0.08895397186279297,0.00426483154296875,0.12789011001586914,0.006276130676269531,0.11664795875549316
30/100000,0.07648992538452148,0.04904985427856445,0.07405495643615723,0.13148188591003418,0.07834219932556152,0.17622971534729004,0.0771479606628418,0.08679080009460449,0.08586812019348145,0.08130908012390137,2.552340030670166,0.006282806396484375,0.007429838180541992,0.005544900894165039,0.004524946212768555,0.004765987396240234,0.010219097137451172,0.08975982666015625,0.004400014877319336,0.10701704025268555,0.006104946136474609,0.09973406791687012
30/1000000,0.06769204139709473,0.06212115287780762,0.06984305381774902,0.1431102752685547,0.08342909812927246,0.19065618515014648,0.09636306762695312,0.07970595359802246,0.08361697196960449,0.09974122047424316,16.698173999786377,0.0051021575927734375,0.005697965621948242,0.004601955413818359,0.00449681282043457,0.0047740936279296875,0.010431051254272461,0.07469010353088379,0.0043981075286865234,0.11801767349243164,0.0064051151275634766,0.0996100902557373
30/10000000,0.06861376762390137,0.05193305015563965,0.07046318054199219,0.11943697929382324,0.08225417137145996,0.1720278263092041,0.08399820327758789,0.07322430610656738,0.08394289016723633,0.08624815940856934,175.84938716888428,0.0050160884857177734,0.0055921077728271484,0.004577159881591797,0.004423856735229492,0.0046880245208740234,0.013339042663574219,0.07323408126831055,0.004710197448730469,0.10082674026489258,0.006478071212768555,0.10569214820861816
40/1,0.07012486457824707,0.0463709831237793,0.07015705108642578,0.16355299949645996,0.11908817291259766,0.20641803741455078,0.10166001319885254,0.10232782363891602,0.10653901100158691,0.10870814323425293,0.8641107082366943,0.0053348541259765625,0.005612850189208984,0.0045049190521240234,0.0043659210205078125,0.005114078521728516,0.01534891128540039,0.0986640453338623,0.004844188690185547,0.14846014976501465,0.006715059280395508,0.12810325622558594
40/10,0.0744318962097168,0.04672503471374512,0.0701761245727539,0.16478610038757324,0.1063840389251709,0.2130298614501953,0.09602689743041992,0.09660887718200684,0.12149405479431152,0.10628414154052734,0.5226199626922607,0.006142139434814453,0.006273746490478516,0.004663705825805664,0.004565000534057617,0.005166053771972656,0.010640859603881836,0.10229778289794922,0.0045261383056640625,0.12993311882019043,0.007195234298706055,0.13609075546264648
40/100,0.06829023361206055,0.047364234924316406,0.07013201713562012,0.17178082466125488,0.09676694869995117,0.2222599983215332,0.1050260066986084,0.09996318817138672,0.10187888145446777,0.12092733383178711,0.5349380970001221,0.0055620670318603516,0.0057010650634765625,0.0046770572662353516,0.0043370723724365234,0.004993915557861328,0.011104106903076172,0.09746265411376953,0.004451751708984375,0.13618803024291992,0.006793975830078125,0.1316070556640625
40/1000,0.07113313674926758,0.04809904098510742,0.06848406791687012,0.18192005157470703,0.09896707534790039,0.2173302173614502,0.0975339412689209,0.10130834579467773,0.10079789161682129,0.11758303642272949,0.6139519214630127,0.005287885665893555,0.005847930908203125,0.00458526611328125,0.008533000946044922,0.005136966705322266,0.01096200942993164,0.1044759750366211,0.004947185516357422,0.1354999542236328,0.007035970687866211,0.13321495056152344
40/10000,0.06766104698181152,0.04669499397277832,0.07003903388977051,0.161635160446167,0.11032509803771973,0.20948100090026855,0.09659814834594727,0.11842083930969238,0.09876775741577148,0.10731291770935059,1.1230158805847168,0.006457805633544922,0.0066890716552734375,0.005310773849487305,0.005217075347900391,0.005630970001220703,0.011137962341308594,0.10113406181335449,0.005099058151245117,0.14114785194396973,0.007206916809082031,0.13898205757141113
40/100000,0.0677492618560791,0.048391103744506836,0.06819891929626465,0.17714476585388184,0.12342190742492676,0.21058392524719238,0.10086727142333984,0.09690403938293457,0.10702681541442871,0.10875415802001953,3.4731290340423584,0.005139827728271484,0.005604982376098633,0.004439830780029297,0.004262208938598633,0.005151033401489258,0.010646820068359375,0.09567904472351074,0.004337787628173828,0.15771102905273438,0.0071887969970703125,0.13627004623413086
40/1000000,0.06844305992126465,0.0484311580657959,0.06995773315429688,0.1798841953277588,0.09660887718200684,0.22323012351989746,0.11468195915222168,0.10338425636291504,0.10371613502502441,0.11697912216186523,22.764728784561157,0.0049991607666015625,0.005590200424194336,0.004647016525268555,0.00829005241394043,0.004932880401611328,0.010768890380859375,0.09547710418701172,0.005383014678955078,0.13860106468200684,0.007158756256103516,0.12837815284729004
40/10000000,0.07423877716064453,0.04821610450744629,0.07372307777404785,0.16531991958618164,0.10144305229187012,0.22366881370544434,0.15858817100524902,0.10519194602966309,0.10281586647033691,0.1065669059753418,282.133376121521,0.0073642730712890625,0.006573915481567383,0.0051288604736328125,0.0047419071197509766,0.010508060455322266,0.014464855194091797,0.10065007209777832,0.004125833511352539,0.14515113830566406,0.008727073669433594,0.13387298583984375
