,Data_loading_csv,Data_loading_json,Data_loading_parquet,Count_per_column,Mean_per_column,Median_per_column,Max_per_column,Min_per_column,Sum_per_column,Standard_deviation_per_column,Summary,Filter,Avg_addition_2_columns,Sum_addition_2_columns,Product_addition_2_columns,Add_new_column,Add_new_column_comparing_size,GroupBy,Distinct,Number_distinct_values,Join_raw,Join
1/1,0.05630350112915039,0.04288077354431152,0.4512052536010742,0.0010716915130615234,0.0004763603210449219,0.0003192424774169922,0.000362396240234375,0.000232696533203125,0.0004329681396484375,0.0003559589385986328,0.010618209838867188,0.0014162063598632812,0.0006492137908935547,0.0003402233123779297,0.00028252601623535156,0.0012264251708984375,0.0017168521881103516,0.004862308502197266,0.000186920166015625,0.006060600280761719,0.008142471313476562,0.00910496711730957
1/10,0.014656782150268555,0.02050471305847168,0.013191938400268555,0.0012710094451904297,0.00041365623474121094,0.00023055076599121094,0.00029015541076660156,0.00025010108947753906,0.0004544258117675781,0.0002465248107910156,0.012272119522094727,0.0015017986297607422,0.0007736682891845703,0.0004937648773193359,0.00044345855712890625,0.0013811588287353516,0.0017001628875732422,0.004799842834472656,0.000316619873046875,0.002222776412963867,0.0046579837799072266,0.014111995697021484
1/100,0.007515430450439453,0.020082473754882812,0.021686553955078125,0.0013148784637451172,0.00031280517578125,0.00045371055603027344,0.00045561790466308594,0.0003066062927246094,0.00043010711669921875,0.00038242340087890625,0.013077259063720703,0.0016529560089111328,0.0007140636444091797,0.0003185272216796875,0.0004241466522216797,0.0017597675323486328,0.0014576911926269531,0.0034027099609375,0.00018262863159179688,0.0019259452819824219,0.0034711360931396484,0.012062788009643555
1/1000,0.011035680770874023,0.02863168716430664,0.013741493225097656,0.0009725093841552734,0.0005090236663818359,0.0003159046173095703,0.0005006790161132812,0.0003502368927001953,0.0009872913360595703,0.0007312297821044922,0.010526657104492188,0.0018513202667236328,0.0006327629089355469,0.0002841949462890625,0.0004520416259765625,0.0012128353118896484,0.0030663013458251953,0.004174709320068359,0.0004405975341796875,0.0024073123931884766,0.005213022232055664,0.013086318969726562
1/10000,0.0268247127532959,0.09169149398803711,0.016169309616088867,0.0015826225280761719,0.0007817745208740234,0.00046825408935546875,0.0005838871002197266,0.0006918907165527344,0.0007164478302001953,0.0006172657012939453,0.009479761123657227,0.001760721206665039,0.0006558895111083984,0.00031685829162597656,0.0004143714904785156,0.0009646415710449219,0.003130674362182617,0.004329204559326172,0.00020956993103027344,0.0026874542236328125,0.01601386070251465,0.010164499282836914
1/100000,0.04571795463562012,0.411876916885376,0.04072070121765137,0.002660989761352539,0.0013668537139892578,0.002229928970336914,0.0008544921875,0.0009019374847412109,0.0008854866027832031,0.001499176025390625,0.01616692543029785,0.004632711410522461,0.0031626224517822266,0.0008938312530517578,0.001968860626220703,0.001901865005493164,0.013416767120361328,0.01389002799987793,0.001188516616821289,0.012190818786621094,0.24612832069396973,0.020763635635375977
1/1000000,0.22806096076965332,4.36183500289917,0.4157724380493164,0.009603500366210938,0.008526802062988281,0.021136999130249023,0.007554292678833008,0.007368326187133789,0.0050776004791259766,0.014721393585205078,0.09291267395019531,0.02191901206970215,0.003271818161010742,0.0014452934265136719,0.001956939697265625,0.004445552825927734,0.11360454559326172,0.09636259078979492,0.009908437728881836,0.1074972152709961,2.6638424396514893,0.08588027954101562
1/10000000,1.6572723388671875,40.24468922615051,0.6619915962219238,0.10839200019836426,0.08487606048583984,0.22782230377197266,0.08523750305175781,0.0737919807434082,0.06016993522644043,0.1481795310974121,0.7939386367797852,0.26557183265686035,0.025484323501586914,0.007409095764160156,0.007564067840576172,0.05619239807128906,1.331855058670044,0.9340732097625732,0.07993173599243164,1.014439344406128,33.31722688674927,0.775768518447876
5/1,0.01818561553955078,0.019829511642456055,0.00795745849609375,0.0017921924591064453,0.0005342960357666016,0.00022482872009277344,0.0004239082336425781,0.0003287792205810547,0.0003592967987060547,0.0002970695495605469,0.019464969635009766,0.0013473033905029297,0.0005557537078857422,0.00025582313537597656,0.00026106834411621094,0.0009748935699462891,0.0015461444854736328,0.003780364990234375,0.00017118453979492188,0.0022449493408203125,0.0035827159881591797,0.008161544799804688
5/10,0.005473613739013672,0.010202884674072266,0.014918804168701172,0.0009303092956542969,0.00035834312438964844,0.0002830028533935547,0.0003528594970703125,0.00024509429931640625,0.0004470348358154297,0.00028705596923828125,0.019768714904785156,0.0013399124145507812,0.000579833984375,0.0002484321594238281,0.00025391578674316406,0.0008609294891357422,0.0013082027435302734,0.0033257007598876953,0.00017333030700683594,0.002477884292602539,0.00556182861328125,0.014022111892700195
5/100,0.006973743438720703,0.01337122917175293,0.00980377197265625,0.001051187515258789,0.0004558563232421875,0.0006422996520996094,0.00027060508728027344,0.00025844573974609375,0.0004138946533203125,0.0002868175506591797,0.028006792068481445,0.002037525177001953,0.0010535717010498047,0.0004417896270751953,0.00042819976806640625,0.001384735107421875,0.0022094249725341797,0.0054225921630859375,0.0009663105010986328,0.003667116165161133,0.00594639778137207,0.014467716217041016
5/1000,0.025539398193359375,0.017612695693969727,0.019481897354125977,0.0017113685607910156,0.0006906986236572266,0.0006618499755859375,0.0005059242248535156,0.0004715919494628906,0.0005214214324951172,0.0009250640869140625,0.022563457489013672,0.0027298927307128906,0.001142263412475586,0.00042629241943359375,0.00061798095703125,0.0013651847839355469,0.0028243064880371094,0.006847858428955078,0.0007672309875488281,0.003985881805419922,0.0049669742584228516,0.009980440139770508
5/10000,0.029333829879760742,0.0905919075012207,0.02763843536376953,0.0012683868408203125,0.0009391307830810547,0.001123666763305664,0.0006086826324462891,0.0006635189056396484,0.0006952285766601562,0.0005323886871337891,0.01989459991455078,0.0025300979614257812,0.0007023811340332031,0.0003428459167480469,0.00031685829162597656,0.0009424686431884766,0.003198385238647461,0.005033254623413086,0.0005934238433837891,0.0036008358001708984,0.01097869873046875,0.008741140365600586
5/100000,0.14269471168518066,0.7005009651184082,0.05447745323181152,0.0031914710998535156,0.0016908645629882812,0.00901031494140625,0.0015535354614257812,0.0013887882232666016,0.0013065338134765625,0.003779172897338867,0.04153299331665039,0.00505375862121582,0.0016477108001708984,0.0006353855133056641,0.0007112026214599609,0.0014622211456298828,0.007816314697265625,0.014251947402954102,0.0013272762298583984,0.014177560806274414,0.13171005249023438,0.018016576766967773
5/1000000,0.47707486152648926,6.541223764419556,0.14399385452270508,0.019213438034057617,0.015886306762695312,0.07694458961486816,0.014202594757080078,0.013246774673461914,0.013758182525634766,0.02836775779724121,0.2761852741241455,0.028890371322631836,0.0038716793060302734,0.0018527507781982422,0.0016443729400634766,0.005606174468994141,0.07532954216003418,0.12125873565673828,0.01026463508605957,0.13466525077819824,1.7571165561676025,0.1031343936920166
5/10000000,5.057629346847534,79.05059123039246,0.948427677154541,0.1967005729675293,0.14417624473571777,0.7391302585601807,0.12975549697875977,0.11769223213195801,0.14485383033752441,0.2572932243347168,2.4662606716156006,0.3948478698730469,0.023769855499267578,0.008329391479492188,0.008098125457763672,0.0464625358581543,0.8222947120666504,1.4825148582458496,0.09020376205444336,1.274491786956787,21.836960792541504,1.0041208267211914
10/1,0.011726140975952148,0.01710033416748047,0.019654035568237305,0.0013659000396728516,0.0004119873046875,0.000255584716796875,0.00026106834411621094,0.00032329559326171875,0.00029087066650390625,0.00040459632873535156,0.029029130935668945,0.0011522769927978516,0.0005936622619628906,0.00029397010803222656,0.0003452301025390625,0.0013773441314697266,0.0012195110321044922,0.0038366317749023438,0.0002162456512451172,0.0036275386810302734,0.0030739307403564453,0.007924079895019531
10/10,0.005543231964111328,0.011528491973876953,0.015065908432006836,0.0010101795196533203,0.00047326087951660156,0.00026535987854003906,0.00027751922607421875,0.00036525726318359375,0.0003082752227783203,0.0002410411834716797,0.03618264198303223,0.001323699951171875,0.0006072521209716797,0.00034332275390625,0.00028443336486816406,0.0009016990661621094,0.0014202594757080078,0.0041348934173583984,0.00020313262939453125,0.0026755332946777344,0.003725767135620117,0.009131908416748047
10/100,0.012809038162231445,0.014455556869506836,0.01374053955078125,0.0010330677032470703,0.00030350685119628906,0.0007476806640625,0.0002944469451904297,0.00023317337036132812,0.0002834796905517578,0.0002644062042236328,0.027870893478393555,0.0016112327575683594,0.0007576942443847656,0.000316619873046875,0.0003654956817626953,0.0011434555053710938,0.0019838809967041016,0.003448009490966797,0.00017309188842773438,0.0030112266540527344,0.0038225650787353516,0.009251117706298828
10/1000,0.0174100399017334,0.022253990173339844,0.02058696746826172,0.0009243488311767578,0.0009715557098388672,0.0005450248718261719,0.0006537437438964844,0.0006718635559082031,0.0004773139953613281,0.0010325908660888672,0.029189586639404297,0.001651763916015625,0.0006701946258544922,0.0002949237823486328,0.0002627372741699219,0.0007984638214111328,0.0015833377838134766,0.0036699771881103516,0.0006000995635986328,0.003877401351928711,0.005011796951293945,0.009805440902709961
10/10000,0.04198718070983887,0.13087105751037598,0.03902482986450195,0.0021734237670898438,0.00079345703125,0.0020194053649902344,0.0005891323089599609,0.0006926059722900391,0.0008800029754638672,0.0006420612335205078,0.04114842414855957,0.0026302337646484375,0.0009846687316894531,0.0003330707550048828,0.00032258033752441406,0.0009295940399169922,0.002202749252319336,0.004578351974487305,0.0005316734313964844,0.004475593566894531,0.012734174728393555,0.010613441467285156
10/100000,0.1163482666015625,1.237739086151123,0.02850651741027832,0.003601551055908203,0.0028574466705322266,0.01720428466796875,0.002728700637817383,0.0025136470794677734,0.001926422119140625,0.0057332515716552734,0.06456947326660156,0.00552058219909668,0.0015943050384521484,0.0006544589996337891,0.0006380081176757812,0.0014536380767822266,0.0068972110748291016,0.02305293083190918,0.0011529922485351562,0.020142078399658203,0.14345979690551758,0.022635459899902344
10/1000000,0.9027957916259766,13.2550687789917,0.14950942993164062,0.02719283103942871,0.020218372344970703,0.17294001579284668,0.02063131332397461,0.016736268997192383,0.019161701202392578,0.03982281684875488,0.45488691329956055,0.03616523742675781,0.003179311752319336,0.001619577407836914,0.001547098159790039,0.004157066345214844,0.06507372856140137,0.2033400535583496,0.009410858154296875,0.16672015190124512,1.6653969287872314,0.1417529582977295
10/10000000,8.595725774765015,,1.4603219032287598,0.33794546127319336,0.2586517333984375,1.8142471313476562,0.18651604652404785,0.19759249687194824,0.24613094329833984,0.45685410499572754,4.412445068359375,0.5232796669006348,0.023525714874267578,0.010329484939575195,0.009947538375854492,0.027770519256591797,0.6256577968597412,2.3463938236236572,0.07755422592163086,1.6231811046600342,,1.4624338150024414
20/1,0.005741119384765625,0.012488365173339844,0.008031606674194336,0.0014853477478027344,0.0003833770751953125,0.00037360191345214844,0.00035762786865234375,0.00030350685119628906,0.00031113624572753906,0.0002887248992919922,0.05644488334655762,0.0014011859893798828,0.0006916522979736328,0.0003428459167480469,0.00025343894958496094,0.001096963882446289,0.001257181167602539,0.003034830093383789,0.00017595291137695312,0.004767417907714844,0.003605365753173828,0.009057283401489258
20/10,0.005200386047363281,0.013628244400024414,0.00843358039855957,0.0011415481567382812,0.0004756450653076172,0.00026679039001464844,0.00023174285888671875,0.00027871131896972656,0.0005676746368408203,0.0005221366882324219,0.052819252014160156,0.001272439956665039,0.0006432533264160156,0.00030517578125,0.0002987384796142578,0.0009052753448486328,0.0012416839599609375,0.003736734390258789,0.00019621849060058594,0.004935741424560547,0.002905607223510742,0.007920503616333008
20/100,0.00536036491394043,0.0551753044128418,0.009165287017822266,0.0010423660278320312,0.00035119056701660156,0.0009925365447998047,0.00044465065002441406,0.0004754066467285156,0.0003139972686767578,0.00030994415283203125,0.04663705825805664,0.0011761188507080078,0.0005888938903808594,0.000255584716796875,0.00024199485778808594,0.0009200572967529297,0.00112152099609375,0.0034241676330566406,0.0001468658447265625,0.004040956497192383,0.0031592845916748047,0.008487224578857422
