,Data_loading_csv,Data_loading_json,Data_loading_parquet,Count_per_column,Mean_per_column,Median_per_column,Max_per_column,Min_per_column,Sum_per_column,Standard_deviation_per_column,Summary,Filter,Avg_addition_2_columns,Sum_addition_2_columns,Product_addition_2_columns,Add_new_column,Add_new_column_comparing_size,GroupBy,Distinct,Number_distinct_values,Join_raw,Join
1/1,0.013052701950073242,0.02458477020263672,0.3128044605255127,0.001171112060546875,0.00035762786865234375,0.00027823448181152344,0.00024890899658203125,0.0002815723419189453,0.00030517578125,0.0002689361572265625,0.009959220886230469,0.0016732215881347656,0.0006320476531982422,0.0003390312194824219,0.00032782554626464844,0.0011796951293945312,0.0023767948150634766,0.005208015441894531,0.00016951560974121094,0.004507541656494141,0.0051457881927490234,0.009517908096313477
1/10,0.008660078048706055,0.008855581283569336,0.010615110397338867,0.0011284351348876953,0.00039696693420410156,0.00033736228942871094,0.00027632713317871094,0.0002396106719970703,0.00030803680419921875,0.00028824806213378906,0.011812210083007812,0.002088785171508789,0.0006349086761474609,0.000255584716796875,0.0003597736358642578,0.0025043487548828125,0.0015842914581298828,0.004798173904418945,0.00018525123596191406,0.0021047592163085938,0.0035407543182373047,0.009175539016723633
1/100,0.006048917770385742,0.007542848587036133,0.007383108139038086,0.0009703636169433594,0.00033783912658691406,0.0002238750457763672,0.0002574920654296875,0.0003292560577392578,0.00037670135498046875,0.0002522468566894531,0.009002685546875,0.001176595687866211,0.0005352497100830078,0.0002493858337402344,0.00031065940856933594,0.0010285377502441406,0.0011913776397705078,0.00354766845703125,0.0002014636993408203,0.0015456676483154297,0.004457235336303711,0.012209653854370117
1/1000,0.006506443023681641,0.011496782302856445,0.007953882217407227,0.0010521411895751953,0.0003421306610107422,0.00031304359436035156,0.0003170967102050781,0.00030922889709472656,0.0003116130828857422,0.0003314018249511719,0.008571624755859375,0.001985788345336914,0.0006232261657714844,0.000408172607421875,0.0002906322479248047,0.0010116100311279297,0.0023643970489501953,0.0035419464111328125,0.0004973411560058594,0.0019385814666748047,0.005273103713989258,0.008898019790649414
1/10000,0.008500814437866211,0.0836493968963623,0.0076863765716552734,0.0017123222351074219,0.0006952285766601562,0.0004906654357910156,0.0006930828094482422,0.0005321502685546875,0.0006053447723388672,0.0005371570587158203,0.00975489616394043,0.0022156238555908203,0.000896453857421875,0.00034546852111816406,0.0006744861602783203,0.0010612010955810547,0.0025377273559570312,0.004902362823486328,0.0002791881561279297,0.0031261444091796875,0.018873929977416992,0.010763168334960938
1/100000,0.04531049728393555,0.3228945732116699,0.012623071670532227,0.0021414756774902344,0.0011777877807617188,0.0025386810302734375,0.001399993896484375,0.0012428760528564453,0.000820159912109375,0.0015175342559814453,0.014467239379882812,0.004556179046630859,0.00247955322265625,0.000690460205078125,0.0010068416595458984,0.0013017654418945312,0.011595010757446289,0.011660099029541016,0.0011949539184570312,0.010705709457397461,0.15176057815551758,0.017394304275512695
1/1000000,0.28543710708618164,3.359238624572754,0.05872225761413574,0.010794639587402344,0.010344266891479492,0.024132490158081055,0.008333206176757812,0.009038209915161133,0.006480216979980469,0.017414331436157227,0.09441924095153809,0.02244853973388672,0.0033550262451171875,0.0013146400451660156,0.00130462646484375,0.004516124725341797,0.15125060081481934,0.10348367691040039,0.009709835052490234,0.11736035346984863,1.6645796298980713,0.07837057113647461
1/10000000,1.6762349605560303,32.7718231678009,0.5423874855041504,0.10446858406066895,0.07823681831359863,0.2004845142364502,0.07102799415588379,0.07642102241516113,0.06149101257324219,0.1447455883026123,0.8011205196380615,0.2554445266723633,0.024270296096801758,0.0073244571685791016,0.007302761077880859,0.045949459075927734,1.349858045578003,0.9490783214569092,0.07762932777404785,1.0570034980773926,17.0507550239563,0.7904932498931885
5/1,0.0058062076568603516,0.009629964828491211,0.005976676940917969,0.0015106201171875,0.0005581378936767578,0.00032329559326171875,0.00034499168395996094,0.0003209114074707031,0.00032591819763183594,0.00028133392333984375,0.01954364776611328,0.0020453929901123047,0.0006539821624755859,0.0003235340118408203,0.0003082752227783203,0.0015690326690673828,0.002042055130004883,0.0056035518646240234,0.0002770423889160156,0.003778696060180664,0.0045642852783203125,0.010886669158935547
5/10,0.005319833755493164,0.009361743927001953,0.007950305938720703,0.0009467601776123047,0.0005538463592529297,0.00033855438232421875,0.00037741661071777344,0.0003724098205566406,0.0004017353057861328,0.0003571510314941406,0.017460346221923828,0.0012624263763427734,0.0006155967712402344,0.0002963542938232422,0.00023746490478515625,0.0009100437164306641,0.00121307373046875,0.004431009292602539,0.00018858909606933594,0.002090930938720703,0.004065990447998047,0.007833242416381836
