,Data_loading_csv,Data_loading_json,Data_loading_parquet,Count_per_column,Mean_per_column,Median_per_column,Max_per_column,Min_per_column,Sum_per_column,Standard_deviation_per_column,Summary,Filter,Avg_addition_2_columns,Sum_addition_2_columns,Product_addition_2_columns,Add_new_column,Add_new_column_comparing_size,GroupBy,Distinct,Number_distinct_values,Join_raw,Join
1/1,0.5458266735076904,0.46216654777526855,0.5484275817871094,0.18536996841430664,0.061505794525146484,1.3684346675872803,0.020767927169799805,0.026941537857055664,0.026309490203857422,0.05660390853881836,1.2767722606658936,0.02945566177368164,0.025645971298217773,0.014822006225585938,0.01586318016052246,0.024370670318603516,0.05325460433959961,0.03687691688537598,0.020401716232299805,0.035989999771118164,0.07251405715942383,0.13532114028930664
1/10,0.49249720573425293,0.1000680923461914,0.11410140991210938,0.040061235427856445,0.025675296783447266,0.5480144023895264,0.019609928131103516,0.01955127716064453,0.019739627838134766,0.0226590633392334,0.3778107166290283,0.022473812103271484,0.024810075759887695,0.013840198516845703,0.025182008743286133,0.012465238571166992,0.034189701080322266,0.019870758056640625,0.013864278793334961,0.024101972579956055,0.030907154083251953,0.08945226669311523
1/100,0.4013338088989258,0.09075784683227539,0.11060667037963867,0.03864312171936035,0.016621112823486328,0.49511289596557617,0.015518426895141602,0.018667221069335938,0.01686882972717285,0.0204465389251709,0.2961390018463135,0.031798362731933594,0.022378206253051758,0.014282703399658203,0.01695728302001953,0.013684511184692383,0.027126312255859375,0.020447969436645508,0.013429641723632812,0.019854307174682617,0.030071735382080078,0.11832904815673828
1/1000,0.3917670249938965,0.0859375,0.10630035400390625,0.026153087615966797,0.014741897583007812,0.4107980728149414,0.01525115966796875,0.014424562454223633,0.020880937576293945,0.018175601959228516,0.3489255905151367,0.018142223358154297,0.01633167266845703,0.011706352233886719,0.011558055877685547,0.00979304313659668,0.024938583374023438,0.0157167911529541,0.010567426681518555,0.0196533203125,0.021302461624145508,0.1088247299194336
1/10000,0.3711256980895996,0.10082697868347168,0.11135530471801758,0.03679943084716797,0.016727447509765625,0.43659162521362305,0.02651357650756836,0.01629638671875,0.014726877212524414,0.018729448318481445,0.38825273513793945,0.04789447784423828,0.0198361873626709,0.013644933700561523,0.013903141021728516,0.012170553207397461,0.02910923957824707,0.019496679306030273,0.012854814529418945,0.03808093070983887,0.03519153594970703,0.07687115669250488
1/100000,0.3483610153198242,0.08872842788696289,0.09586811065673828,0.029585838317871094,0.01735544204711914,0.6780967712402344,0.020352840423583984,0.020431995391845703,0.018158435821533203,0.020180463790893555,0.5645468235015869,0.0159451961517334,0.014562845230102539,0.008359432220458984,0.010097980499267578,0.007478952407836914,0.02050471305847168,0.01775050163269043,0.012783527374267578,0.02287006378173828,0.018951416015625,0.07712435722351074
1/1000000,0.331127405166626,0.11166024208068848,0.08434176445007324,0.04529070854187012,0.021593332290649414,1.6306819915771484,0.013118743896484375,0.01477813720703125,0.015108585357666016,0.01713871955871582,2.2077560424804688,0.020311594009399414,0.03590536117553711,0.02554011344909668,0.012713193893432617,0.012699365615844727,0.02684783935546875,0.018218278884887695,0.01125192642211914,0.01889824867248535,0.023968219757080078,0.09289836883544922
1/10000000,0.3269228935241699,0.07394003868103027,0.07652044296264648,0.027245759963989258,0.013360261917114258,12.60700273513794,0.016981840133666992,0.01902294158935547,0.017459630966186523,0.0330042839050293,22.158653020858765,0.01751995086669922,0.015786170959472656,0.010589838027954102,0.011165142059326172,0.010487079620361328,0.025145769119262695,0.016102075576782227,0.009967327117919922,0.019533872604370117,0.017807960510253906,0.09109783172607422
5/1,0.3617727756500244,0.0840606689453125,0.07936620712280273,0.06587767601013184,0.042862892150878906,1.175839900970459,0.03521919250488281,0.03292083740234375,0.028056859970092773,0.05016970634460449,0.7763502597808838,0.013986349105834961,0.016145944595336914,0.014875650405883789,0.015336990356445312,0.014583349227905273,0.03725171089172363,0.04024505615234375,0.014196157455444336,0.05243492126464844,0.023257732391357422,0.09661006927490234
5/10,0.3944246768951416,0.07347941398620605,0.10274577140808105,0.0610959529876709,0.03795981407165527,1.1753230094909668,0.04271697998046875,0.03677988052368164,0.030808210372924805,0.036492347717285156,0.3411295413970947,0.013822793960571289,0.015686750411987305,0.01201009750366211,0.012627124786376953,0.017549991607666016,0.021872997283935547,0.029192447662353516,0.00970149040222168,0.042443275451660156,0.0184326171875,0.08179879188537598
5/100,0.3351612091064453,0.07970857620239258,0.08821821212768555,0.05385088920593262,0.04221296310424805,1.167494297027588,0.0492253303527832,0.03160834312438965,0.02814459800720215,0.03395199775695801,0.34099531173706055,0.015361547470092773,0.014481306076049805,0.012541055679321289,0.024830341339111328,0.012697219848632812,0.0278012752532959,0.03667473793029785,0.014316797256469727,0.05318284034729004,0.021371126174926758,0.09138154983520508
5/1000,0.31746387481689453,0.06798577308654785,0.10245490074157715,0.05148720741271973,0.03806185722351074,1.144141674041748,0.03583240509033203,0.031538963317871094,0.030811071395874023,0.046568870544433594,0.36223626136779785,0.014138936996459961,0.01599431037902832,0.009042501449584961,0.009578704833984375,0.01519632339477539,0.021810293197631836,0.03119659423828125,0.010703325271606445,0.05333542823791504,0.018782854080200195,0.09352397918701172
5/10000,0.30782222747802734,0.06720876693725586,0.07684111595153809,0.05746293067932129,0.040596723556518555,1.154404640197754,0.04126405715942383,0.025094270706176758,0.027125120162963867,0.034713029861450195,0.4399385452270508,0.013711929321289062,0.014151334762573242,0.012638330459594727,0.012607336044311523,0.010016202926635742,0.029271602630615234,0.03918266296386719,0.01050424575805664,0.03818249702453613,0.017719507217407227,0.10030341148376465
5/100000,0.3315088748931885,0.07553672790527344,0.08270478248596191,0.05990028381347656,0.03509831428527832,1.4818930625915527,0.031526803970336914,0.02810525894165039,0.026180505752563477,0.029419422149658203,0.9786722660064697,0.012545108795166016,0.01346588134765625,0.01312112808227539,0.009119749069213867,0.006705760955810547,0.019913196563720703,0.036664724349975586,0.014622211456298828,0.03911232948303223,0.024341106414794922,0.08227252960205078
5/1000000,0.31709885597229004,0.06889176368713379,0.08470892906188965,0.061835527420043945,0.02789759635925293,4.698435306549072,0.028542280197143555,0.030576705932617188,0.026986360549926758,0.03374743461608887,5.378618478775024,0.011506319046020508,0.013736486434936523,0.009253263473510742,0.008495092391967773,0.00878143310546875,0.02388596534729004,0.032148122787475586,0.009613513946533203,0.049970149993896484,0.023345470428466797,0.08983206748962402
5/10000000,0.34557032585144043,0.08388257026672363,0.07682251930236816,0.07265353202819824,0.03881382942199707,39.59225034713745,0.02678370475769043,0.02957463264465332,0.0289766788482666,0.04771733283996582,59.48566555976868,0.016630172729492188,0.014246225357055664,0.008648157119750977,0.01043701171875,0.010840654373168945,0.027893543243408203,0.03265738487243652,0.011157989501953125,0.05139970779418945,0.01802968978881836,0.08008408546447754
10/1,0.30246901512145996,0.07051539421081543,0.08273816108703613,0.1128382682800293,0.04477334022521973,1.8693594932556152,0.06376194953918457,0.060431718826293945,0.050506591796875,0.04922842979431152,0.8425183296203613,0.012852191925048828,0.01410984992980957,0.020389556884765625,0.010731220245361328,0.007988452911376953,0.01807570457458496,0.05674600601196289,0.014196157455444336,0.08836627006530762,0.019189119338989258,0.11385345458984375
10/10,0.3172791004180908,0.06948518753051758,0.08270692825317383,0.09116721153259277,0.051180124282836914,1.836118221282959,0.045327186584472656,0.0376133918762207,0.04104208946228027,0.05413079261779785,0.4194297790527344,0.01195526123046875,0.0141448974609375,0.012067794799804688,0.0096588134765625,0.008890151977539062,0.01699686050415039,0.04811453819274902,0.008140802383422852,0.07711505889892578,0.018706083297729492,0.10742712020874023
10/100,0.29741597175598145,0.06649184226989746,0.08047175407409668,0.09286379814147949,0.04964709281921387,1.8793251514434814,0.055445194244384766,0.055962324142456055,0.05367422103881836,0.050540924072265625,0.46729087829589844,0.010524988174438477,0.010117769241333008,0.007395267486572266,0.006488800048828125,0.005944013595581055,0.015307903289794922,0.06166386604309082,0.009395837783813477,0.0575716495513916,0.016096830368041992,0.10579133033752441
